# id	left	top	right	bottom	texture_id
[SPRITES]
# MAIN GROUND
100000	112	128	127	143	40
100005	128	128	143	143	40
100010	144	128	159	143	40

# BOTTOM GROUND
100015	0	144	15	159	40
100020	16	144	31	159	40
100025	32	144	47	159	40

# BIG BUSH
100100	112	48	127	63	40
100105	128	48	143	63	40
100110	64	64	79	79	40
100115	0	96	15	111	40

100120	48	64	63	79	40	
100125	0	80	15	95	40
100130	16	80	31	95	40

# SMALL BUSH
100200	160	112	175	127	40

# PINK BOX
100300	64	16	79	31	40
100305	80	16	95	31	40
100310	96	16	111	31	40

100315	96	96	111	111	40
100320	112	96	127	111	40
100325	128	96	143	111	40

100330	64	112	79	127	40
100335	144	112	159	127	40

100340	128	16	143	31	40
100345	144	16	159	31	40
100350	160	16	175	31	40
100355	96	128	111	143	40

# BLUE BOX
100400	128	64	143	79	40
100405	144	64	159	79	40
100410	160	64	175	79	40

100415	128	80	143	95	40
100420	144	80	159	95	40
100425	160	80	175	95	40
100430	80	112	95	127	40
100435	160	96	175	111	40

100440	16	128	31	143	40
100445	32	128	47	143	40

# GREEN BOX
100500	0	48	15	63	40
100505	16	48	31	63	40
100510	32	48	47	63	40

100515	64	48	79	63	40
100520	80	48	95	63	40
100525	96	48	111	63	40

100530	96	112	111	127	40

100535	48	128	63	143	40
100540	0	128	15	143	40
100545	64	128	79	143	40
100550	80	128	95	143	40
100555	160	128	175	143	40

# WHITE BOX
100600	160	48	175	63	40
100605	0	64	15	79	40
100610	16	64	31	79	40

100615	80	64	95	79	40
100620	96	64	111	79	40
100625	112	64	127	79	40
100630	112	80	127	95	40
100635	144	96	159	111	40

# CLOUD
100700	88	33	95	48	40
100705	96	33	111	48	40
100710	112	33	120	48	40

100715	137	33	144	40	40
100720	145	33	160	40	40
100725	161	33	167	40	40

# BLACK BACKGROUND
100800	16	0	31	16	40
100805	32	0	48	16	40

# BLACK BUSH
100900	32	80	47	95	40
100905	48	80	64	95	40
100910	16	96	31	111	40
100915	32	96	48	111	40

# SHADOW BOX
101000	112	16	127	31	40
101005	0	32	15	47	40
101010	16	32	31	47	40
101015	32	32	47	47	40
101020	48	32	63	47	40

# BORDER BOX
101100	15	42	41	68	170

# BLUE BRICK
102000	0	0	16	16	140



